secp521r1,P-521,,secp521r1,mlkem1024,,mldsa87,P-521,,mldsa87,mlkem1024,,falcon1024,P-521,,falcon1024,mlkem1024,,sphincssha2256fsimple,P-521,,sphincssha2256fsimple,mlkem1024,,sphincssha2256ssimple,P-521,,sphincssha2256ssimple,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
440,"6,53","67,38",791,"4,86","162,76",97,"1,13","85,84",1276,"1,36","938,24",584,"5,51","105,99",4864,"4,87","998,77",202,"2,63","76,81",192,"1,01","190,10",28,"0,31","90,32",29,"0,10","290,00"
473,"6,53","72,43",1213,"7,09","171,09",110,"1,13","97,35",1327,"1,31","1012,98",652,"5,94","109,76",3144,"3,25","967,38",207,"2,62","79,01",250,"1,26","198,41",28,"0,34","82,35",26,"0,09","288,89"
447,"6,23","71,75",1210,"7,18","168,52",117,"1,10","106,36",1355,"1,34","1011,19",605,"5,75","105,22",4759,"4,83","985,30",140,"1,76","79,55",252,"1,26","200,00",27,"0,30","90,00",30,"0,11","272,73"
413,"5,93","69,65",843,"4,81","175,26",120,"1,13","106,19",1384,"1,34","1032,84",614,"5,54","110,83",4985,"4,85","1027,84",202,"2,62","77,10",231,"1,24","186,29",28,"0,32","87,50",28,"0,11","254,55"
443,"6,60","67,12",1219,"7,05","172,91",123,"1,14","107,89",395,"0,37","1067,57",587,"5,30","110,75",3244,"3,29","986,02",200,"2,63","76,05",251,"1,24","202,42",29,"0,32","90,62",28,"0,09","311,11"
486,"6,47","75,12",1157,"7,19","160,92",127,"1,10","115,45",1118,"1,29","866,67",646,"5,83","110,81",4811,"4,87","987,89",165,"2,05","80,49",249,"1,34","185,82",27,"0,32","84,38",29,"0,11","263,64"
311,"4,39","70,84",846,"4,82","175,52",125,"1,11","112,61",1311,"1,44","910,42",642,"5,70","112,63",4797,"4,67","1027,19",195,"2,62","74,43",216,"1,15","187,83",27,"0,31","87,10",28,"0,09","311,11"
462,"6,50","71,08",1167,"7,06","165,30",121,"1,15","105,22",1401,"1,40","1000,71",428,"3,94","108,63",3334,"3,20","1041,88",201,"2,66","75,56",233,"1,18","197,46",28,"0,34","82,35",28,"0,10","280,00"
449,"6,47","69,40",1185,"7,08","167,37",123,"1,11","110,81",1434,"1,36","1054,41",648,"5,87","110,39",4779,"4,73","1010,36",199,"2,55","78,04",244,"1,28","190,62",27,"0,34","79,41",29,"0,11","263,64"
296,"4,44","66,67",960,"5,73","167,54",121,"1,16","104,31",1351,"1,31","1031,30",645,"5,87","109,88",4856,"4,85","1001,24",202,"2,62","77,10",253,"1,29","196,12",28,"0,33","84,85",27,"0,10","270,00"
