rsassa-pss-256,X25519,,rsassa-pss-256,P-256,,rsassa-pss-256,mlkem512,,ed25519,X25519,,ed25519,P-256,,ed25519,mlkem512,,falcon512,X25519,,falcon512,P-256,,falcon512,mlkem512,,sphincssha2128fsimple,X25519,,sphincssha2128fsimple,P-256,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,X25519,,sphincssha2128ssimple,P-256,,sphincssha2128ssimple,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
1503,"5,72","262,76",1478,"6,16","239,94",1037,"3,99","259,90",5170,"5,98","864,55",4238,"6,08","697,04",4579,"5,76","794,97",3908,"6,02","649,17",2402,"4,06","591,63",3610,"5,73","630,02",315,"6,21","50,72",218,"4,33","50,35",307,"6,30","48,73",20,"5,77","3,47",21,"5,97","3,52",21,"5,91","3,55"
1529,"5,93","257,84",1525,"6,08","250,82",1585,"5,93","267,28",3397,"4,02","845,02",4414,"6,16","716,56",4633,"5,60","827,32",4071,"5,96","683,05",3537,"6,11","578,89",3777,"5,90","640,17",306,"6,29","48,65",309,"6,40","48,28",217,"4,20","51,67",22,"6,12","3,59",20,"5,80","3,45",21,"5,84","3,60"
1618,"5,99","270,12",1011,"3,92","257,91",1635,"5,99","272,95",5056,"5,97","846,90",3966,"5,86","676,79",4960,"6,10","813,11",2669,"4,02","663,93",3534,"6,11","578,40",3938,"6,01","655,24",216,"4,26","50,70",314,"6,42","48,91",307,"6,19","49,60",22,"6,17","3,57",20,"6,12","3,27",21,"6,45","3,26"
1506,"5,63","267,50",1544,"5,91","261,25",1041,"4,05","257,04",5087,"6,02","845,02",4451,"6,12","727,29",4930,"6,08","810,86",3912,"6,03","648,76",2782,"4,65","598,28",3619,"5,65","640,53",307,"6,37","48,19",209,"4,31","48,49",308,"6,44","47,83",19,"5,68","3,35",22,"6,24","3,53",21,"5,98","3,51"
1474,"5,43","271,45",1497,"5,87","255,03",1582,"5,94","266,33",3894,"4,59","848,37",4408,"6,04","729,80",3316,"4,12","804,85",3994,"5,98","667,89",3373,"5,96","565,94",3473,"5,43","639,59",301,"6,30","47,78",316,"6,40","49,38",254,"5,05","50,30",23,"6,41","3,59",21,"6,12","3,43",20,"5,69","3,51"
1609,"5,97","269,51",1002,"3,90","256,92",1641,"5,99","273,96",4820,"5,85","823,93",4059,"5,78","702,25",4912,"6,18","794,82",2670,"4,06","657,64",3595,"5,95","604,20",4000,"6,00","666,67",211,"4,32","48,84",310,"6,33","48,97",304,"6,27","48,48",22,"6,16","3,57",20,"5,91","3,38",20,"5,76","3,47"
1600,"6,01","266,22",1509,"6,05","249,42",1061,"4,05","261,98",5102,"6,00","850,33",4148,"5,60","740,71",4902,"6,24","785,58",3878,"5,91","656,18",3442,"5,76","597,57",3867,"5,99","645,58",310,"6,21","49,92",243,"5,09","47,74",307,"6,35","48,35",18,"5,34","3,37",22,"6,12","3,59",21,"6,11","3,44"
1100,"4,02","273,63",1529,"5,99","255,26",1554,"5,89","263,84",4726,"5,75","821,91",4546,"6,09","746,47",3365,"4,10","820,73",3956,"6,01","658,24",3438,"5,94","578,79",2590,"4,02","644,28",308,"6,30","48,89",308,"6,26","49,20",295,"5,87","50,26",21,"5,88","3,57",20,"6,12","3,27",21,"5,88","3,57"
1647,"5,87","280,58",1016,"4,18","243,06",1616,"5,92","272,97",5031,"5,96","844,13",4468,"6,00","744,67",4903,"6,09","805,09",3100,"4,66","665,24",3578,"5,91","605,41",3965,"5,97","664,15",215,"4,29","50,12",317,"6,42","49,38",300,"6,43","46,66",22,"6,24","3,53",20,"5,73","3,49",21,"6,10","3,44"
1555,"6,12","254,08",1497,"6,07","246,62",1292,"4,60","280,87",5015,"6,12","819,44",3023,"4,02","751,99",4929,"6,12","805,39",3795,"5,85","648,72",3312,"5,63","588,28",3900,"5,99","651,09",315,"6,40","49,22",298,"6,20","48,06",316,"6,28","50,32",20,"5,80","3,45",20,"6,00","3,33",22,"6,24","3,53"
