p521_mldsa87,p521_mlkem1024,,p521_falcon1024,p521_mlkem1024,,p521_falcon1024,mlkem1024,,p521_sphincssha2256fsimple,p521_mlkem1024,,p521_sphincssha2256fsimple,mlkem1024,,p521_sphincssha2256ssimple,p521_mlkem1024,,p521_sphincssha2256ssimple,mlkem1024,,p521_mldsa87,mlkem1024,,p521_mayo5,p521_mlkem1024,,p521_mayo5,mlkem1024,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec
273,"4,55","60,00",278,"4,46","62,33",1016,"6,16","164,94",153,"3,26","46,93",199,"1,98","100,51",26,"0,52","50,00",26,"0,21","123,81",1587,"9,35","169,73",367,"6,09","60,26",952,"6,38","149,22"
393,"6,74","58,31",416,"6,67","62,37",1004,"6,11","164,32",164,"3,36","48,81",199,"1,99","100,00",28,"0,55","50,91",27,"0,22","122,73",1550,"9,31","166,49",363,"6,11","59,41",953,"6,42","148,44"
397,"6,66","59,61",409,"6,70","61,04",985,"6,16","159,90",149,"2,99","49,83",196,"2,04","96,08",25,"0,52","48,08",26,"0,22","118,18",1582,"9,35","169,20",372,"6,14","60,59",963,"6,49","148,38"
318,"5,12","62,11",282,"4,51","62,53",985,"6,23","158,11",149,"3,05","48,85",200,"2,01","99,50",27,"0,52","51,92",27,"0,22","122,73",1581,"9,35","169,09",372,"6,10","60,98",942,"6,27","150,24"
386,"6,58","58,66",416,"6,68","62,28",989,"6,18","160,03",155,"3,38","45,86",197,"1,95","101,03",26,"0,50","52,00",27,"0,24","112,50",1581,"9,39","168,37",368,"6,13","60,03",960,"6,44","149,07"
413,"6,73","61,37",411,"6,68","61,53",973,"6,19","157,19",156,"3,19","48,90",196,"1,97","99,49",24,"0,51","47,06",26,"0,23","113,04",1577,"9,31","169,39",377,"6,15","61,30",1035,"6,42","161,21"
383,"6,38","60,03",318,"5,30","60,00",991,"6,13","161,66",110,"2,42","45,45",199,"1,98","100,51",26,"0,44","59,09",27,"0,22","122,73",1563,"9,32","167,70",376,"6,09","61,74",948,"6,37","148,82"
393,"6,83","57,54",413,"6,49","63,64",1007,"6,15","163,74",160,"3,39","47,20",199,"1,99","100,00",27,"0,52","51,92",26,"0,22","118,18",1573,"9,30","169,14",367,"6,13","59,87",979,"6,33","154,66"
403,"6,71","60,06",404,"6,63","60,94",985,"6,17","159,64",164,"3,35","48,96",196,"2,02","97,03",26,"0,51","50,98",27,"0,24","112,50",1602,"9,36","171,15",370,"6,03","61,36",978,"6,37","153,53"
386,"6,27","61,56",393,"6,27","62,68",1005,"6,13","163,95",105,"2,18","48,17",198,"1,98","100,00",26,"0,49","53,06",27,"0,22","122,73",1598,"9,35","170,91",366,"6,12","59,80",991,"6,40","154,84"
