p384_mldsa65,p384_mlkem768,,p384_mldsa65,x448_mlkem768,,p384_mldsa65,mlkem768,,p384_sphincssha2192fsimple,p384_mlkem768,,p384_sphincssha2192fsimple,x448_mlkem768,,p384_sphincssha2192fsimple,mlkem768,,p384_sphincssha2192ssimple,p384_mlkem768,,p384_sphincssha2192ssimple,x448_mlkem768,,p384_sphincssha2192ssimple,mlkem768,,p384_mayo3,p384_mlkem768,,p384_mayo3,x448_mlkem768,,p384_mayo3,mlkem768,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec
761,"6,86","110,93",1163,"5,16","225,39",1543,"5,05","305,54",293,"3,70","79,19",304,"2,49","122,09",414,"2,91","142,27",22,"0,24","91,67",25,"0,15","166,67",27,"0,14","192,86",772,"6,90","111,88",1653,"7,49","220,69",1877,"6,50","288,77"
496,"4,57","108,53",1784,"7,65","233,20",2292,"7,53","304,38",272,"3,58","75,98",385,"3,19","120,69",400,"2,97","134,68",25,"0,31","80,65",27,"0,16","168,75",27,"0,14","192,86",758,"6,75","112,30",1747,"7,42","235,44",1903,"6,43","295,96"
725,"6,97","104,02",1694,"7,56","224,07",2308,"7,47","308,97",299,"3,86","77,46",403,"3,14","128,34",400,"2,90","137,93",25,"0,28","89,29",25,"0,16","156,25",27,"0,14","192,86",824,"6,87","119,94",1646,"7,44","221,24",1894,"6,50","291,38"
758,"6,84","110,82",1120,"5,11","219,18",1540,"5,02","306,77",310,"3,89","79,69",382,"2,90","131,72",416,"2,95","141,02",23,"0,27","85,19",27,"0,18","150,00",27,"0,15","180,00",816,"6,87","118,78",1663,"7,40","224,73",1815,"6,44","281,83"
600,"5,40","111,11",1698,"7,54","225,20",2286,"7,40","308,92",200,"2,69","74,35",399,"3,15","126,67",407,"2,94","138,44",25,"0,29","86,21",26,"0,16","162,50",26,"0,14","185,71",827,"6,90","119,86",1627,"7,43","218,98",1910,"6,49","294,30"
706,"6,71","105,22",1657,"7,65","216,60",2319,"7,48","310,03",317,"3,90","81,28",390,"3,21","121,50",416,"2,98","139,60",26,"0,28","92,86",26,"0,17","152,94",27,"0,15","180,00",809,"6,86","117,93",1633,"7,39","220,97",1897,"6,44","294,57"
768,"6,74","113,95",1163,"5,12","227,15",1549,"5,07","305,52",310,"3,97","78,09",364,"2,94","123,81",410,"2,95","138,98",20,"0,24","83,33",26,"0,17","152,94",26,"0,14","185,71",821,"6,87","119,51",1647,"7,46","220,78",1967,"6,54","300,76"
720,"6,43","111,98",1730,"7,63","226,74",2225,"7,41","300,27",202,"2,63","76,81",359,"2,97","120,88",402,"3,01","133,55",21,"0,24","87,50",27,"0,16","168,75",27,"0,15","180,00",806,"6,90","116,81",1666,"7,53","221,25",1878,"6,34","296,21"
745,"6,71","111,03",1667,"7,66","217,62",2284,"7,48","305,35",302,"3,79","79,68",394,"3,16","124,68",412,"2,89","142,56",24,"0,27","88,89",25,"0,16","156,25",27,"0,15","180,00",818,"6,88","118,90",1676,"7,46","224,66",1966,"6,53","301,07"
734,"6,86","107,00",1373,"6,02","228,07",1729,"5,92","292,06",317,"3,92","80,87",395,"3,23","122,29",408,"2,91","140,21",25,"0,31","80,65",27,"0,18","150,00",27,"0,16","168,75",768,"6,87","111,79",1667,"7,48","222,86",1842,"6,51","282,95"
