falcon512,p256_mlkem512,,falcon512,x25519_mlkem512,,falcon512,mlkem512,,sphincssha2128fsimple,p256_mlkem512,,sphincssha2128fsimple,x25519_mlkem512,,sphincssha2128fsimple,mlkem512,,sphincssha2128ssimple,p256_mlkem512,,sphincssha2128ssimple,x25519_mlkem512,,sphincssha2128ssimple,mlkem512,,mayo1,p256_mlkem512,,mayo1,x25519_mlkem512,,mayo1,mlkem512,,CROSSrsdpg128balanced,p256_mlkem512,,CROSSrsdpg128balanced,x25519_mlkem512,,CROSSrsdpg128balanced,mlkem512,
Group 1 Connections,Time (s),Connections/User Sec,Group 2 Connections,Time (s),Connections/User Sec,Group 3 Connections,Time (s),Connections/User Sec,Group 4 Connections,Time (s),Connections/User Sec,Group 5 Connections,Time (s),Connections/User Sec,Group 6 Connections,Time (s),Connections/User Sec,Group 7 Connections,Time (s),Connections/User Sec,Group 8 Connections,Time (s),Connections/User Sec,Group 9 Connections,Time (s),Connections/User Sec,Group 10 Connections,Time (s),Connections/User Sec,Group 11 Connections,Time (s),Connections/User Sec,Group 12 Connections,Time (s),Connections/User Sec,Group 13 Connections,Time (s),Connections/User Sec,Group 14 Connections,Time (s),Connections/User Sec,Group 15 Connections,Time (s),Connections/User Sec
2003,"5,81","344,75",5437,"5,48","992,15",6214,"5,01","1240,32",533,"3,27","163,00",628,"2,47","254,25",445,"1,76","252,84",43,"0,19","226,32",41,"0,11","372,73",43,"0,10","430,00",2653,"6,72","394,79",6636,"6,15","1079,02",9018,"6,46","1395,98",1841,"7,86","234,22",2563,"6,13","418,11",4513,"9,13","494,30"
1914,"5,77","331,72",5606,"5,31","1055,74",6431,"5,38","1195,35",544,"3,47","156,77",650,"2,65","245,28",667,"2,56","260,55",43,"0,18","238,89",44,"0,13","338,46",44,"0,11","400,00",2551,"6,41","397,97",6574,"6,24","1053,53",6048,"4,34","1393,55",1876,"7,70","243,64",3719,"8,81","422,13",4202,"8,81","476,96"
2079,"6,15","338,05",3827,"3,63","1054,27",6458,"5,23","1234,80",570,"3,46","164,74",420,"1,73","242,77",649,"2,60","249,62",45,"0,22","204,55",45,"0,11","409,09",44,"0,11","400,00",2730,"6,54","417,43",6148,"5,99","1026,38",8844,"6,34","1394,95",1216,"5,26","231,18",3830,"8,83","433,75",4370,"8,98","486,64"
2153,"6,19","347,82",5344,"5,46","978,75",6217,"5,23","1188,72",537,"3,25","165,23",651,"2,64","246,59",436,"1,64","265,85",42,"0,20","210,00",42,"0,11","381,82",42,"0,12","350,00",2714,"6,68","406,29",5990,"5,85","1023,93",9063,"6,47","1400,77",1812,"7,80","232,31",2570,"6,03","426,20",4333,"9,12","475,11"
1498,"4,18","358,37",5576,"5,42","1028,78",6630,"5,21","1272,55",490,"3,04","161,18",648,"2,72","238,24",683,"2,69","253,90",44,"0,19","231,58",45,"0,13","346,15",45,"0,12","375,00",2462,"6,26","393,29",6622,"6,27","1056,14",6077,"4,30","1413,26",1882,"7,81","240,97",3687,"8,85","416,61",4168,"8,66","481,29"
2090,"6,24","334,94",3818,"3,63","1051,79",6393,"5,05","1265,94",554,"3,42","161,99",430,"1,84","233,70",638,"2,54","251,18",42,"0,21","200,00",45,"0,13","346,15",43,"0,09","477,78",2677,"6,61","404,99",6779,"6,35","1067,56",8898,"6,37","1396,86",1260,"5,27","239,09",3759,"8,94","420,47",4008,"8,24","486,41"
2246,"6,14","365,80",5411,"5,39","1003,90",6382,"5,42","1177,49",572,"3,37","169,73",643,"2,70","238,15",441,"1,73","254,91",42,"0,21","200,00",40,"0,11","363,64",43,"0,12","358,33",2451,"6,47","378,83",4690,"4,29","1093,24",8962,"6,53","1372,43",1835,"7,78","235,86",2885,"6,94","415,71",4413,"9,04","488,16"
1449,"4,15","349,16",5447,"5,28","1031,63",6631,"5,45","1216,70",374,"2,27","164,76",647,"2,71","238,75",678,"2,55","265,88",44,"0,22","200,00",44,"0,11","400,00",43,"0,11","390,91",2513,"6,24","402,72",6756,"6,26","1079,23",5930,"4,31","1375,87",1921,"7,97","241,03",3624,"8,70","416,55",4495,"9,04","497,23"
2072,"6,21","333,66",4261,"4,16","1024,28",6079,"5,07","1199,01",598,"3,30","181,21",429,"1,83","234,43",653,"2,70","241,85",43,"0,20","215,00",44,"0,14","314,29",42,"0,09","466,67",2408,"6,13","392,82",6939,"6,24","1112,02",8787,"6,46","1360,22",1490,"6,16","241,88",3667,"8,71","421,01",2960,"6,18","478,96"
2131,"6,07","351,07",5116,"5,09","1005,11",6085,"4,86","1252,06",547,"3,37","162,31",657,"2,62","250,76",510,"1,99","256,28",41,"0,20","205,00",43,"0,12","358,33",41,"0,10","410,00",2403,"6,66","360,81",4689,"4,31","1087,94",8877,"6,48","1369,91",1823,"7,74","235,53",3688,"8,33","442,74",4482,"9,00","498,00"
1549,"4,12","375,97",5385,"5,45","988,07",6375,"5,18","1230,69",374,"2,34","159,83",650,"2,71","239,85",658,"2,71","242,80",41,"0,19","215,79",44,"0,12","366,67",44,"0,11","400,00",2411,"6,57","366,97",6897,"6,35","1086,14",7138,"5,18","1377,99",1842,"7,84","234,95",3473,"8,05","431,43",4242,"8,91","476,09"
2040,"6,17","330,63",5034,"5,18","971,81",6729,"5,36","1255,41",555,"3,35","165,67",519,"2,08","249,52",632,"2,65","238,49",44,"0,20","220,00",43,"0,11","390,91",44,"0,11","400,00",1713,"4,46","384,08",6778,"6,28","1079,30",8375,"6,33","1323,06",1783,"7,49","238,05",3794,"8,94","424,38",2761,"6,00","460,17"
2178,"6,31","345,17",5277,"5,37","982,68",4311,"3,62","1190,88",560,"3,46","161,85",630,"2,63","239,54",632,"2,39","264,44",44,"0,21","209,52",42,"0,12","350,00",30,"0,08","375,00",2520,"6,50","387,69",4614,"4,31","1070,53",8550,"6,43","1329,70",1853,"7,83","236,65",3962,"8,75","452,80",4091,"8,97","456,08"
1702,"4,86","350,21",5431,"5,39","1007,61",6356,"5,49","1157,74",385,"2,26","170,35",659,"2,68","245,90",641,"2,67","240,07",42,"0,20","210,00",44,"0,10","440,00",45,"0,09","500,00",2500,"6,53","382,85",6918,"6,38","1084,33",8244,"6,13","1344,86",1867,"7,72","241,84",2549,"5,96","427,68",4165,"8,96","464,84"
2084,"6,12","340,52",5054,"5,21","970,06",6706,"5,39","1244,16",563,"3,38","166,57",624,"2,57","242,80",668,"2,56","260,94",44,"0,20","220,00",40,"0,12","333,33",45,"0,11","409,09",1730,"4,40","393,18",6866,"6,38","1076,18",8279,"6,36","1301,73",1745,"7,34","237,74",3841,"8,94","429,64",2838,"6,07","467,55"
2122,"6,29","337,36",4812,"5,07","949,11",4340,"3,64","1192,31",563,"3,51","160,40",641,"2,66","240,98",629,"2,35","267,66",44,"0,21","209,52",44,"0,11","400,00",27,"0,06","450,00",2589,"6,64","389,91",5443,"5,00","1088,60",8794,"6,38","1378,37",1708,"7,16","238,55",3809,"8,79","433,33",4078,"8,84","461,31"
2031,"5,95","341,34",5522,"5,48","1007,66",6685,"5,41","1235,67",426,"2,62","162,60",663,"2,64","251,14",629,"2,30","273,48",42,"0,18","233,33",44,"0,13","338,46",45,"0,12","375,00",2447,"6,56","373,02",6520,"6,09","1070,61",8215,"6,03","1362,35",1924,"7,90","243,54",2608,"6,00","434,67",4222,"8,92","473,32"
